key,en,zh_TW
home,Home,主頁
person,Person,個人
account,Account,帳號
not_signed_in,Not signed in,尚未登入
sign_in,Sign In,登入
sign_out,Sign Out,登出
sign_up,Sign Up,註冊
email,Email,電子郵件
password,Password,密碼
sign_in_with_google,Sign in with Google,使用 Google 帳戶登入
no_account_prompt,Don't have an account?,還沒有帳號嗎？
not_signed_in,Not signed in,未登入
silversole,SilverSole,SilverSole
or,OR,或
new_version,New Version {},發現新版本 {}
coming_soon,Coming Soon!,即將推出!
field_required,This field is required,此欄位為必填
sign_up_intro,Enter the following details to complete registration,輸入以下資料完成註冊
confirm_password,Confirm password,密碼確認
invalid_email,Invalid email address,電子郵件格式不正確
password_mismatch,Passwords do not match,兩次輸入的密碼不一致
sign_up_success,Sign Up Success,註冊成功
sign_in_success,Sign In Success,登入成功
sign_out_success,Sign Out Success,登出成功
email_not_confirmed,Email not Confirmed,信箱尚未驗證
invalid_credentials,Invalid email or password,帳號或密碼錯誤
device,Device,裝置
silversole_device_id,SilverSole device ID,SilverSole 裝置 ID
binding,Binding,綁定
binding_silversole_device,Binding SilverSole Device,綁定 SilverSole 裝置
not_binding,Not bound yet,尚未綁定
invalid_device_id_format,Invalid device ID format,裝置 ID 格式不正確
device_already_binding,Device already Binding,裝置已綁定
get_data_success,Data loaded,資料載入完成
rls_denied,Permission denied,權限不足
binding_failed,Binding failed,綁定失敗
device_not_found,Device not found,裝置不存在
identity,Identity,身份
switch_identity,Switch Identity,切換身份
change_identity_check_content,Are you sure you want to switch to {} identity?,您確定要切換成 「{}」 身份嗎？
transmitter,Transmitter,傳輸者
observer,Observer,觀察者
offline,Offline,離線
online,Online,連線中
done,Done,完成
map_binding_required,Bind a device to use map features,需要綁定後才能使用地圖功能
device_recent_locations,Recent device locations,裝置最近位置
device_recent_warnings,Recent device warnings,裝置近期警告
device_recent_data,Recent device data,裝置近期資料
events,Events,事件
safe,Safe,安全
get_last_update_time_success,Last update time fetched successfully,成功取得最後更新時間
get_last_update_time_failed,Failed to fetch last update time,取得最後更新時間失敗
refresh,Refresh,刷新
safety_events_detected,Safety events detected,件安全事件已偵測
devices,devices,裝置
analytics,analytics,分析
settings,settings,設定
strong,strong,強
medium,medium,中
weak,weak,弱
low,low,低
high,high,高
alert_severity,alert severity,警報嚴重程度
view_history,View history,查看歷史
on,On,開
off,Off,關
general,General,一般
search_device,Search device,搜尋裝置
current_devices,Current devices,目前裝置
dark_mode,Dark Mode,深色模式
transmission_method,Transmission Method,傳輸方式
bluetooth,Bluetooth,藍牙
hotspot,Hotspot,熱點
no_data,No data,無資料
wifi,WiFi,WiFi
